hospital_340b_id,hospital_name,ccn,contract_pharmacy_name,pharmacy_address,status,effective_date,likely_distributor
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"786 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"604 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"755 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"421 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"884 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"373 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"430 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"288 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"259 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"763 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"795 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"610 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"785 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"711 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"174 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"273 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"805 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"785 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"858 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"650 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"159 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"704 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"721 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"965 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"992 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"140 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"181 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"852 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"945 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"972 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"391 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"253 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"845 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"628 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"491 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"172 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"382 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"870 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"990 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"664 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"219 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"102 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"348 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"295 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"515 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"754 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"431 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"887 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"858 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"281 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"735 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"347 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"950 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"830 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"677 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"838 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"385 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"449 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Rite Aid,"105 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"489 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"862 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"667 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"205 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"505 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"235 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"460 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Rite Aid,"572 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"519 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"483 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"156 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"654 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"864 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"848 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"988 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"156 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"438 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"216 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Rite Aid,"696 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"147 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"982 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"224 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"180 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"535 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"901 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"974 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"164 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"361 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"452 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"301 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"929 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"301 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"471 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"571 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"881 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"563 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"201 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"736 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"341 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"262 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Rite Aid,"877 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"780 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"433 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"495 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walgreens,"869 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walgreens,"464 Main St, City 3",Active,2020-01-01,Cardinal Health
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"672 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"861 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,Walmart Pharmacy,"986 Main St, City 3",Active,2020-01-01,McKesson
DSH210003,Regional Medical Center 3,210003,CVS Pharmacy,"455 Main St, City 3",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"244 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"337 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"961 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"537 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"343 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"159 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"517 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"183 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"965 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"805 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"866 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"643 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"465 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"180 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"961 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"105 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"207 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"506 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"509 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"546 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"395 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"220 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"744 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walgreens,"224 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"162 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"986 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"364 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"460 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"255 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"231 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"354 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"585 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"593 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"767 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"391 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"751 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"485 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"271 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"882 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,CVS Pharmacy,"755 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walmart Pharmacy,"827 Main St, City 4",Active,2020-01-01,McKesson
DSH210004,Hospital Center 4 - North,210004,Walgreens,"227 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walgreens,"746 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walgreens,"309 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walgreens,"953 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walgreens,"458 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Walgreens,"311 Main St, City 4",Active,2020-01-01,Cardinal Health
DSH210004,Hospital Center 4 - North,210004,Rite Aid,"655 Main St, City 4",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"186 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,Rite Aid,"496 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"722 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,Walgreens,"494 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"883 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"702 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"872 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"314 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"825 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"884 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"784 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"476 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"639 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"991 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"204 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,Rite Aid,"222 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"498 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"734 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"620 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"177 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"181 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"964 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"422 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"853 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,Rite Aid,"771 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"768 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"565 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"380 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"413 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"397 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"931 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"581 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"521 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walgreens,"615 Main St, City 5",Active,2020-01-01,Cardinal Health
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"823 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Walmart Pharmacy,"514 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"145 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"410 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,CVS Pharmacy,"714 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"163 Main St, City 5",Active,2020-01-01,McKesson
DSH210005,Regional Medical Center 5,210005,Rite Aid,"685 Main St, City 5",Active,2020-01-01,McKesson
DSH210006,Hospital Center 6 - North,210006,Walmart Pharmacy,"206 Main St, City 6",Active,2020-01-01,McKesson
DSH210006,Hospital Center 6 - North,210006,Walmart Pharmacy,"525 Main St, City 6",Active,2020-01-01,McKesson
DSH210006,Hospital Center 6 - North,210006,CVS Pharmacy,"733 Main St, City 6",Active,2020-01-01,McKesson
DSH210006,Hospital Center 6 - North,210006,Rite Aid,"211 Main St, City 6",Active,2020-01-01,McKesson
DSH210006,Hospital Center 6 - North,210006,Rite Aid,"379 Main St, City 6",Active,2020-01-01,McKesson
DSH210006,Hospital Center 6 - North,210006,Walgreens,"381 Main St, City 6",Active,2020-01-01,Cardinal Health
DSH210006,Hospital Center 6 - North,210006,Rite Aid,"516 Main St, City 6",Active,2020-01-01,McKesson
